"filename", "language", "SCSS", "TypeScript React", "TypeScript", "Markdown", "XML", "JSON", "comment", "blank", "total"
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\pages\cards\object-kinds\hoteleApartamentowe.md", "Markdown", 0, 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\pages\cards\object-kinds\luksusowyKemping.md", "Markdown", 0, 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\pages\cards\object-kinds\osrodkiWypoczyknowe.md", "Markdown", 0, 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\pages\cards\object-kinds\wille.md", "Markdown", 0, 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\pages\cards\regions\gdansk.md", "Markdown", 0, 0, 0, 12, 0, 0, 0, 1, 13
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\pages\cards\regions\karpacz.md", "Markdown", 0, 0, 0, 14, 0, 0, 0, 1, 15
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\pages\cards\regions\katowice.md", "Markdown", 0, 0, 0, 12, 0, 0, 0, 1, 13
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\pages\cards\regions\lodz.md", "Markdown", 0, 0, 0, 12, 0, 0, 0, 1, 13
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\pages\cards\regions\szklarska.md", "Markdown", 0, 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\pages\cards\regions\zakopane.md", "Markdown", 0, 0, 0, 12, 0, 0, 0, 1, 13
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\pages\flights.tsx", "TypeScript React", 0, 99, 0, 0, 0, 0, 0, 12, 111
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\pages\index.tsx", "TypeScript React", 0, 323, 0, 0, 0, 0, 0, 22, 345
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\pages\login.tsx", "TypeScript React", 0, 58, 0, 0, 0, 0, 0, 10, 68
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\pages\searchresults.tsx", "TypeScript React", 0, 192, 0, 0, 0, 0, 0, 13, 205
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\state\accordion\index.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 7, 27
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\state\counter\index.ts", "TypeScript", 0, 0, 48, 0, 0, 0, 0, 7, 55
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\state\header\index.ts", "TypeScript", 0, 0, 26, 0, 0, 0, 0, 7, 33
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\state\input\index.ts", "TypeScript", 0, 0, 23, 0, 0, 0, 0, 7, 30
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\state\store.ts", "TypeScript", 0, 0, 22, 0, 0, 0, 0, 5, 27
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\styles\fonts.scss", "SCSS", 2, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\styles\global.scss", "SCSS", 56, 0, 0, 0, 0, 0, 0, 11, 67
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\styles\mixins.scss", "SCSS", 3, 0, 0, 0, 0, 0, 1, 1, 5
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\styles\normalize.scss", "SCSS", 146, 0, 0, 0, 0, 0, 131, 75, 352
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\styles\themes\components\_accordion.scss", "SCSS", 46, 0, 0, 0, 0, 0, 0, 10, 56
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\styles\themes\components\_bar.scss", "SCSS", 45, 0, 0, 0, 0, 0, 0, 8, 53
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\styles\themes\components\_breadcrumb.scss", "SCSS", 49, 0, 0, 0, 0, 0, 0, 8, 57
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\styles\themes\components\_button.scss", "SCSS", 20, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\styles\themes\components\_calendar.scss", "SCSS", 73, 0, 0, 0, 0, 0, 0, 17, 90
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\styles\themes\components\_card1.scss", "SCSS", 74, 0, 0, 0, 0, 0, 0, 9, 83
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\styles\themes\components\_card2.scss", "SCSS", 30, 0, 0, 0, 0, 0, 0, 5, 35
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\styles\themes\components\_card3.scss", "SCSS", 60, 0, 0, 0, 0, 0, 0, 10, 70
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\styles\themes\components\_card4.scss", "SCSS", 55, 0, 0, 0, 0, 0, 0, 7, 62
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\styles\themes\components\_card5.scss", "SCSS", 72, 0, 0, 0, 0, 0, 0, 9, 81
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\styles\themes\components\_card6.scss", "SCSS", 55, 0, 0, 0, 0, 0, 0, 7, 62
"c:\Users\oloa\OneDrive\Pulpit\gatsby-booking-com\src\styles\themes\components\_cardResult.scss", "SCSS", 169, 0, 0, 0, 0, 0, 0, 30, 199
